text,line,length,shot
"short and outside off, Rahane drops his gloves and lets it thud into the gloves of YJB",Outside Off,Short,Unknown
"bouncer on off, Rahane has his eyes locked on the ball before sinking under it",Off Stump,Short,Unknown
"short and ducks back in, Rahane aims to evade it, the ball hits his back instead and runs away to fine leg",Unknown,Short,Unknown
Rahane jumps to get on top of a short ball outside off and jab it away through backward point,Outside Off,Short,Unknown
"back of a length and moving away outside off, Kohli lets it pass",Outside Off,Short,Unknown
full and angling into a solid push to mid-on off the front foot,Off Stump,Full,Unknown
"full and angling into off, Rahane presses forward, meets the pitch, opens the face and dabs to point",Unknown,Full,Unknown
"dug in short and outside off, Rahane swerves out of the way",Outside Off,Short,Unknown
"wide of the crease, banged down leg, Kohli leaves it, the ball skips away fine past a tumbling YJB",Down Leg,Unknown,Leave
"short on off, Kohli rides the bounce and fends it off to short leg",Off Stump,Short,Unknown
"oh glorious. Overpitched ball just outside off, nicely to the pitch of it to punch wide of mid-off",Outside Off,Unknown,Unknown
"length outside off, left alone",Outside Off,Unknown,Leave
"short of a length at middle stump, defended off the back foot",Middle Stump,Short,Defend
"length ball just outside off, defended into the covers",Outside Off,Unknown,Defend
"short of a length just outside off, defended off the back foot",Outside Off,Short,Defend
"short of a length outside off, left alone",Outside Off,Short,Leave
<b>leading edge</b> as this rises on Kohli. He's looking to turn the corridor ball into the leg side,Down Leg,Unknown,Unknown
"short of a length in the corridor, defended off the back foot",Unknown,Short,Defend
"length ball bending away from wide outside off, left alone",Outside Off,Unknown,Leave
leading edge again. Short of a length and curving away from off. Looks to whip it leg side and it ends up at cover,Down Leg,Short,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
<b>dropped!</b> A difficult chance at point for Anderson. Woakes drops it short outside off and Rahane slaps it viciously off the back foot. It's a few feet above Anderson and he leaps one-handed but can't hold on. The ball was above his right shoulder and he went left-handed (remember Collingwood?),Outside Off,Short,Unknown
"length on off stump, punched to mid-off",Off Stump,Unknown,Unknown
"short of a length outside off, punched to deep point off the back foot",Outside Off,Short,Unknown
"<b>outside edge</b> between second and third slip. A loose drive from Rahane. Angled bat, half-stride and looking to go leg side at an off stump ball. Because third slip is close in, this squeezes through",Off Stump,Unknown,Drive
"short of a length outside off, left alone",Outside Off,Short,Leave
"full on off stump, punched back down the pitch",Off Stump,Full,Unknown
"short and wide outside off, cut to deep point",Outside Off,Short,Cut
"short of a length outside off, comes on slowly as he looks to push through the covers. It's into square leg off the inside half",Outside Off,Short,Unknown
"<b>in the air</b> but short of extra cover. Length ball curves away and he looks to drive on the up. We've said it earlier, this is slow-ish pitch. Both batsmen have been deceived by it this over",Unknown,Short,Drive
"length outside off, more controlled push to extra cove this time",Outside Off,Unknown,Unknown
"length ball in the corridor, shaping away, left alone",Unknown,Unknown,Leave
"nudges it past third slip and the luck continues to elude Anderson. This time he sprints across from deep backward point, puts in a slide to his left and seems to have done it all. But his attempted flick back meets his fingers and the ball rolls into him as he slides into the boundary padding. Kohli was in control of that length ball outside off",Outside Off,Unknown,Flick
"short of a length outside off, bunted to deep point",Outside Off,Short,Unknown
"length on off stump, tapped to extra cover off the front foot",Off Stump,Unknown,Unknown
"<b>beaten.</b> Angles in, gets him to play outside off, slides it past the outside edge",Outside Off,Unknown,Unknown
"length and in at off stump, defended off the front foot",Off Stump,Unknown,Defend
"overpitched just outside off, driven firmly to extra cover",Outside Off,Unknown,Drive
"length ball just outside off, some late wobble. Left alone",Outside Off,Unknown,Leave
"length outside off, blocked on the front foot",Outside Off,Unknown,Defend
"short of a length outside off, nudged into the covers off the back foot",Outside Off,Short,Unknown
"hammered through cover. Aerial again but well in front of square. Short and wide outside off, no attempt to keep the cut down",Outside Off,Short,Cut
"short of a length outside off, nudged to point off the back foot",Outside Off,Short,Unknown
"full ball just outside off, toe-ended drive to extra cover",Outside Off,Full,Drive
"short of a length outside off, left alone",Outside Off,Short,Leave
"back of a length and on off, Kohli shuffles across a touch and clips to midwicket",Off Stump,Short,Unknown
"full and wobbles away outside off, Kohli presses forward and shoulders arms",Outside Off,Full,Unknown
good length and angling into a push towards mid-off,Unknown,Good Length,Unknown
"full and angling into off, Kohli shuffles across again and whips it with the wrists through midwicket. A tumbling save in the deep keeps it to two",Unknown,Full,Unknown
"pitched up and angling in on of, Kohli presses forward and drives to mid-off",Unknown,Full,Drive
"good length and slanting in at off stump, draws Kohli forward, draws the inside edge, the ball rolls away to the leg side",Off Stump,Good Length,Unknown
"back of a length and angling in, Rahane flicks early and <strong>watches a leading edge land in front of cover</strong>",Unknown,Short,Flick
"short and ducks back in just outside off, cramps the batsman for room. Rahane hops and jabs to the cordon",Outside Off,Short,Unknown
"wide of the crease, full and nipping in on off, defended",Off Stump,Full,Defend
"short on leg stump, Rahane swivels on the back foot and middles a pull to fine leg",Leg Stump,Short,Pull
Kohli gets inside the line of this length ball on middle and clips it away to deep square leg,Middle Stump,Unknown,Unknown
"good length and holds its line outside off, Rahane pulls his bat out of the way",Outside Off,Good Length,Pull
"back of a length and around off, Kohli gets forward and taps to cover",Unknown,Short,Unknown
"good length and outside off, punchily played up to the covers",Outside Off,Good Length,Unknown
"banged in short on middle, it's Kohli's turn to swivel and pull it away. He places it fine of long leg for four",Middle Stump,Short,Pull
"fuller and outside off, swings away further, Kohli lets it go",Outside Off,Unknown,Unknown
Kohli twirls his wrists and flicks a length ball to deep square after getting inside the line,Unknown,Unknown,Flick
"on a length on off, blocked off the front foot",Off Stump,Good Length,Defend
"near yorker on off, shovelled away to the right of mid-on for three. Positive running from Kohli and Rahane",Off Stump,Yorker,Unknown
"short on leg or outside leg, Rahane sizes it up and swats it away to the fine leg boundary. Is Woakes tiring?",Unknown,Short,Unknown
"good length and angling into middle, Rahane drops it to the leg side for one",Middle Stump,Good Length,Unknown
"pitched up on off or just a shade outside off, Kohli leans into it and drives it languidly straight of mid-off. Right out of the coaching manual",Outside Off,Full,Drive
"fuller and outside off, slices a drive wide of mid-off. That's the 150 stand",Outside Off,Unknown,Drive
"back of a length and outside off, Rahane steps forward and utterly batters it away through the cover-point region. Bam!",Outside Off,Short,Unknown
"short and outside off, gets on top of it and punches with a high elbow to mid-off",Outside Off,Short,Unknown
"short and angling into the hips, tucked to deep square leg",Unknown,Short,Unknown
"on a length and on off, forward and driven to the covers",Off Stump,Good Length,Drive
"back of a length and outside off, stabbed to the covers, where Stokes gets into a side-on position and lets the ball burst through his hands",Outside Off,Short,Unknown
"short on middle, nurdled away into the vacant spaces at midwicket",Middle Stump,Short,Unknown
"Cook sticks his left hand out and<strong> plucks a one-hander at first slip</strong>. Great reflexes. England, finally, find a way past this pair. This was pitched up and seams away a wee bit outside off, Rahane's front foot is nowhere close to the pitch. He reaches out for the ball with his hands, drives loosely, and nicks it off. He kept going after such balls in the previous over and got away. This time he falls",Outside Off,Full,Drive
